epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8317.61,1.28549,0.67458,0.00398,0.84776,0.76069,0.84419,0.55338,1.27297,0.72415,0.00465,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,8588.29,1.25888,0.66187,0.004,0.84471,0.8131,0.85644,0.57523,1.26047,0.71173,0.00461,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,8858.17,1.25107,0.6431,0.00396,0.88181,0.78576,0.86528,0.57592,1.27667,0.7239,0.00469,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,9126.04,1.24704,0.64815,0.00392,0.86606,0.76339,0.84747,0.55939,1.27164,0.75369,0.00463,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,9394.88,1.23045,0.62709,0.00375,0.84629,0.80085,0.85714,0.56705,1.2641,0.73473,0.00462,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,9662.68,1.20446,0.62296,0.00394,0.85357,0.7869,0.84729,0.55261,1.28387,0.73699,0.00472,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,9930.85,1.20229,0.61688,0.00378,0.86228,0.7756,0.85222,0.56399,1.25728,0.74093,0.00458,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,10198.2,1.20063,0.61356,0.00378,0.86009,0.81146,0.8636,0.5695,1.27348,0.73253,0.00461,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,10465.3,1.191,0.60651,0.00366,0.88614,0.78051,0.85959,0.57103,1.25768,0.74373,0.00455,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,10734.2,1.17517,0.59575,0.00365,0.84004,0.8055,0.8498,0.56249,1.25738,0.75077,0.00459,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,11004,1.18126,0.58612,0.00355,0.85839,0.78327,0.84532,0.56422,1.2579,0.75248,0.00459,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,11272.2,1.14252,0.56405,0.00358,0.8693,0.77631,0.85097,0.56116,1.25437,0.75882,0.00458,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,11541.8,1.14624,0.5564,0.00347,0.86245,0.79132,0.85481,0.56897,1.25236,0.76439,0.00459,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,11812.7,1.13685,0.55846,0.00351,0.85708,0.7655,0.84745,0.57165,1.2497,0.73854,0.00458,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,12086.9,1.14628,0.55575,0.00345,0.85141,0.82679,0.86476,0.57927,1.24912,0.74967,0.00455,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,12362.1,1.10237,0.53825,0.0034,0.87685,0.79879,0.85904,0.58012,1.23747,0.7509,0.00451,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,12637.5,1.0993,0.5291,0.00336,0.86365,0.77925,0.84395,0.56978,1.23175,0.75908,0.00448,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,12913,1.08608,0.52563,0.00329,0.87185,0.77482,0.85104,0.57352,1.23443,0.77056,0.00449,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,13189,1.08722,0.53845,0.00342,0.85817,0.79539,0.86075,0.57828,1.23943,0.75436,0.0045,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,13462.5,1.09438,0.5301,0.00324,0.83675,0.83287,0.86643,0.57965,1.22482,0.7516,0.00445,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,13735,1.07261,0.51622,0.0032,0.86493,0.79529,0.8436,0.57499,1.22555,0.76279,0.00444,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,14007.7,1.06338,0.52065,0.00319,0.8607,0.78364,0.85291,0.57079,1.23263,0.76613,0.00446,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,14284.6,1.01859,0.47476,0.00311,0.869,0.78072,0.847,0.5736,1.23462,0.76351,0.00448,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,14559.3,1.05236,0.4928,0.00304,0.88638,0.77172,0.8454,0.57291,1.22701,0.75516,0.00445,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,14831.8,1.03716,0.49896,0.0031,0.84038,0.8087,0.84226,0.57588,1.22132,0.77489,0.00445,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,15102.6,1.03317,0.48312,0.00296,0.85561,0.81387,0.85937,0.58384,1.22345,0.74659,0.00441,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,15374.1,1.03566,0.49152,0.00302,0.8289,0.80825,0.83906,0.57189,1.21743,0.77825,0.0044,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,15645.5,1.00113,0.47002,0.00298,0.85402,0.79356,0.8458,0.57652,1.21677,0.77199,0.00441,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
