epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1.3773,0.9406,1.2479,0.7926,0.72475,0.79786,0.5009,1.3375,0.81546,1.2019,0.0080428,0.0080428,0.0080428
46,1.38,0.94074,1.2473,0.84232,0.73467,0.81413,0.51484,1.3298,0.80748,1.1954,0.0079595,0.0079595,0.0079595
47,1.3729,0.92401,1.238,0.8268,0.73348,0.81424,0.51667,1.3296,0.80653,1.2002,0.007875,0.007875,0.007875
48,1.3638,0.91896,1.2418,0.77488,0.75708,0.80399,0.50964,1.3229,0.80623,1.1996,0.0077893,0.0077893,0.0077893
49,1.3618,0.91235,1.2334,0.82407,0.74792,0.8137,0.51759,1.3207,0.79766,1.2013,0.0077023,0.0077023,0.0077023
50,1.3621,0.90448,1.2346,0.83677,0.72031,0.81252,0.50776,1.3192,0.80022,1.1938,0.0076142,0.0076142,0.0076142
51,1.3675,0.92106,1.2422,0.76965,0.76477,0.80905,0.51206,1.3203,0.79237,1.1976,0.007525,0.007525,0.007525
52,1.3393,0.89038,1.2165,0.77852,0.78757,0.82604,0.5247,1.3291,0.7909,1.1985,0.0074347,0.0074347,0.0074347
53,1.347,0.89114,1.226,0.80608,0.7488,0.80985,0.50845,1.3198,0.7984,1.1967,0.0073433,0.0073433,0.0073433
54,1.3352,0.87843,1.2181,0.86196,0.69052,0.81472,0.51746,1.3189,0.79481,1.1923,0.0072509,0.0072509,0.0072509
55,1.3371,0.87929,1.2101,0.82484,0.7021,0.80285,0.50933,1.3253,0.78954,1.1969,0.0071576,0.0071576,0.0071576
56,1.3301,0.88139,1.2253,0.83273,0.74006,0.81886,0.52248,1.3116,0.7843,1.1895,0.0070633,0.0070633,0.0070633
57,1.3076,0.86275,1.2052,0.83817,0.7221,0.81669,0.5133,1.3148,0.79223,1.1911,0.0069682,0.0069682,0.0069682
58,1.2921,0.84941,1.2004,0.81038,0.73532,0.81596,0.52088,1.3041,0.78109,1.1868,0.0068722,0.0068722,0.0068722
59,1.317,0.86578,1.2152,0.78613,0.78211,0.82336,0.52612,1.309,0.77701,1.1888,0.0067754,0.0067754,0.0067754
60,1.3026,0.83404,1.1984,0.84191,0.7553,0.825,0.52842,1.3081,0.77373,1.1886,0.0066779,0.0066779,0.0066779
61,1.2898,0.83487,1.1926,0.8473,0.74542,0.82576,0.52839,1.3068,0.77112,1.1891,0.0065796,0.0065796,0.0065796
62,1.2853,0.82969,1.1972,0.85369,0.73336,0.82406,0.52796,1.3103,0.77247,1.1915,0.0064807,0.0064807,0.0064807
63,1.2925,0.8293,1.1956,0.81432,0.7711,0.82554,0.5344,1.302,0.7664,1.1887,0.0063812,0.0063812,0.0063812
64,1.2809,0.81896,1.1981,0.80327,0.76887,0.82533,0.52788,1.3031,0.76982,1.1867,0.006281,0.006281,0.006281
65,1.2795,0.80941,1.1985,0.78559,0.78492,0.82584,0.52411,1.31,0.7629,1.1892,0.0061803,0.0061803,0.0061803
66,1.2833,0.80619,1.1943,0.82374,0.75718,0.82317,0.52963,1.307,0.75876,1.1893,0.0060792,0.0060792,0.0060792
