epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3374.25,1.48922,0.93565,0.0047,0.82326,0.74594,0.80091,0.51781,1.35117,0.79859,0.00493,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,3484.7,1.46402,0.91218,0.00477,0.81912,0.7436,0.82173,0.53174,1.34997,0.76654,0.00495,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,3595.58,1.45551,0.90626,0.00472,0.80489,0.73478,0.80873,0.52508,1.36323,0.80745,0.005,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,3705.48,1.46051,0.90224,0.00473,0.84159,0.7271,0.80598,0.51832,1.36385,0.78522,0.00504,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,3815.69,1.45135,0.89414,0.00456,0.84451,0.74564,0.82424,0.53206,1.36178,0.78557,0.005,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,3925.9,1.42401,0.88814,0.00478,0.84878,0.73512,0.81152,0.52406,1.36499,0.80069,0.00503,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,4035.63,1.42246,0.85251,0.00458,0.82213,0.73548,0.82311,0.53489,1.36299,0.78176,0.005,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,4145.25,1.43753,0.86659,0.00469,0.81371,0.74645,0.81701,0.53208,1.3708,0.78976,0.00502,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,4254.85,1.42535,0.86692,0.00452,0.79109,0.77161,0.82785,0.5343,1.3729,0.77766,0.00504,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,4364.5,1.41895,0.84552,0.00453,0.80205,0.76568,0.8194,0.53591,1.34163,0.75643,0.00489,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,4474.23,1.43642,0.84324,0.00448,0.84103,0.75203,0.82275,0.5287,1.34357,0.79256,0.00488,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,4584.12,1.39061,0.82091,0.00448,0.80775,0.77453,0.82963,0.54639,1.34745,0.77397,0.00492,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,4694.22,1.39358,0.80422,0.00436,0.85795,0.72519,0.82926,0.5419,1.33829,0.77011,0.00491,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,4805.07,1.3913,0.81653,0.00447,0.82672,0.72809,0.81388,0.5303,1.34758,0.78526,0.00495,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,4914.84,1.39699,0.81678,0.00438,0.82093,0.75314,0.81197,0.53087,1.33402,0.79008,0.00488,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,5024.8,1.36796,0.7919,0.00436,0.81052,0.74136,0.80358,0.53151,1.33127,0.79233,0.00488,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,5134.7,1.36492,0.77893,0.00431,0.81734,0.73095,0.80909,0.53168,1.31873,0.79538,0.00481,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,5244.57,1.3531,0.76415,0.00424,0.8426,0.74739,0.81109,0.52704,1.3239,0.78636,0.00483,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,5354.18,1.35564,0.78796,0.0044,0.8395,0.74427,0.82416,0.54605,1.32958,0.76747,0.00484,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,5464.38,1.36747,0.77319,0.00419,0.86302,0.74052,0.8317,0.55427,1.3125,0.7489,0.00481,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,5574.15,1.35606,0.76609,0.00421,0.83692,0.73161,0.80375,0.52951,1.33536,0.76339,0.00489,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,5684.29,1.34304,0.76283,0.00418,0.82696,0.7421,0.80977,0.53249,1.31179,0.77153,0.00477,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,5793.54,1.29483,0.71376,0.00411,0.80561,0.76362,0.82321,0.54077,1.32071,0.76255,0.00485,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,5903.25,1.34358,0.74555,0.00405,0.8431,0.75946,0.82612,0.54897,1.30768,0.77139,0.00477,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,6012.99,1.33529,0.74518,0.00417,0.83743,0.75273,0.81161,0.5271,1.33829,0.81691,0.0049,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,6125,1.32967,0.74509,0.00398,0.85885,0.74274,0.82348,0.54418,1.31007,0.77804,0.00477,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
